Geographic Area,Indicator,Sex,2016,2017,2018,2019
United Republic of Tanzania,Completion rate for youth of upper secondary education school age,Male,32.2,,,
United Republic of Tanzania,Completion rate for youth of upper secondary education school age,Female,26.9,,,
United Republic of Tanzania,Out-of-school rate for adolescents of lower secondary school age,Total,50.8,,,
United Republic of Tanzania,Out-of-school rate for adolescents of lower secondary school age,Male,50.7,,,
United Republic of Tanzania,Out-of-school rate for adolescents of lower secondary school age,Female,50.8,,,
United Republic of Tanzania,Out-of-school rate for youth of upper secondary school age,Total,77.7,,,
United Republic of Tanzania,Out-of-school rate for youth of upper secondary school age,Male,74.3,,,
United Republic of Tanzania,Out-of-school rate for youth of upper secondary school age,Female,80.6,,,
Uganda,Adjusted net attendance rate for adolescents of lower secondary school age,Total,19.4,,,
Uganda,Adjusted net attendance rate for adolescents of lower secondary school age,Male,18.2,,,
Uganda,Adjusted net attendance rate for adolescents of lower secondary school age,Female,20.5,,,
Uganda,Adjusted net attendance rate for youth of upper secondary school age,Total,7.8,,,
Uganda,Adjusted net attendance rate for youth of upper secondary school age,Male,8.6,,,
Uganda,Adjusted net attendance rate for youth of upper secondary school age,Female,7.1,,,
Uganda,Out-of-school rate for adolescents of lower secondary school age,Total,22.8,,,
Uganda,Out-of-school rate for adolescents of lower secondary school age,Male,22.2,,,
Uganda,Out-of-school rate for adolescents of lower secondary school age,Female,23.4,,,
Uganda,Out-of-school rate for youth of upper secondary school age,Total,60.7,,,
Uganda,Out-of-school rate for youth of upper secondary school age,Male,53.2,,,
Uganda,Out-of-school rate for youth of upper secondary school age,Female,67.7,,,
South Africa,Adjusted net attendance rate for adolescents of lower secondary school age,Total,85.2,,,
South Africa,Adjusted net attendance rate for adolescents of lower secondary school age,Male,81.6,,,
South Africa,Adjusted net attendance rate for adolescents of lower secondary school age,Female,88.8,,,
South Africa,Adjusted net attendance rate for youth of upper secondary school age,Total,69.7,,,
South Africa,Adjusted net attendance rate for youth of upper secondary school age,Male,67.2,,,
South Africa,Adjusted net attendance rate for youth of upper secondary school age,Female,72.3,,,
South Africa,Completion rate for adolescents of lower secondary school age,Total,88.5,,,
South Africa,Completion rate for adolescents of lower secondary school age,Male,85.4,,,
South Africa,Completion rate for adolescents of lower secondary school age,Female,91.4,,,
South Africa,Completion rate for youth of upper secondary education school age,Total,48.4,,,
South Africa,Completion rate for youth of upper secondary education school age,Male,44.8,,,
South Africa,Completion rate for youth of upper secondary education school age,Female,51.9,,,
Gambia,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,44.2,
Gambia,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,38.2,
Gambia,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,49.7,
Kyrgyzstan,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,96.9,
Kyrgyzstan,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,96.5,
Kyrgyzstan,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,97.4,
Maldives,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,83.7,,
Maldives,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,82,,
Maldives,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,85.5,,
Mongolia,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,93,
Mongolia,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,91.9,
Mongolia,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,94.3,
Suriname,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,62.4,
Suriname,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,55.6,
Suriname,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,69,
Tunisia,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,82,
Tunisia,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,79.1,
Tunisia,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,85.1,
Gambia,Adjusted net attendance rate for youth of upper secondary school age,Total,,,30.7,
Gambia,Adjusted net attendance rate for youth of upper secondary school age,Male,,,29,
Gambia,Adjusted net attendance rate for youth of upper secondary school age,Female,,,32.2,
Kyrgyzstan,Adjusted net attendance rate for youth of upper secondary school age,Total,,,86.7,
Kyrgyzstan,Adjusted net attendance rate for youth of upper secondary school age,Male,,,88.1,
Kyrgyzstan,Adjusted net attendance rate for youth of upper secondary school age,Female,,,85.3,
Maldives,Adjusted net attendance rate for youth of upper secondary school age,Total,,34.9,,
Maldives,Adjusted net attendance rate for youth of upper secondary school age,Male,,28.3,,
Maldives,Adjusted net attendance rate for youth of upper secondary school age,Female,,41,,
Mongolia,Adjusted net attendance rate for youth of upper secondary school age,Total,,,86.5,
Mongolia,Adjusted net attendance rate for youth of upper secondary school age,Male,,,82.4,
Mongolia,Adjusted net attendance rate for youth of upper secondary school age,Female,,,91,
Suriname,Adjusted net attendance rate for youth of upper secondary school age,Total,,,30.5,
Suriname,Adjusted net attendance rate for youth of upper secondary school age,Male,,,22.4,
Suriname,Adjusted net attendance rate for youth of upper secondary school age,Female,,,38.8,
Tunisia,Adjusted net attendance rate for youth of upper secondary school age,Total,,,59.3,
Tunisia,Adjusted net attendance rate for youth of upper secondary school age,Male,,,50.2,
Tunisia,Adjusted net attendance rate for youth of upper secondary school age,Female,,,68.6,
Maldives,Completion rate for adolescents of lower secondary school age,Total,,81,,
Maldives,Completion rate for adolescents of lower secondary school age,Male,,79.2,,
Maldives,Completion rate for adolescents of lower secondary school age,Female,,82.6,,
Tunisia,Completion rate for adolescents of lower secondary school age,Total,,,74.2,
Tunisia,Completion rate for adolescents of lower secondary school age,Male,,,68.4,
Tunisia,Completion rate for adolescents of lower secondary school age,Female,,,80.2,
Maldives,Completion rate for youth of upper secondary education school age,Total,,37.3,,
Maldives,Completion rate for youth of upper secondary education school age,Male,,31.3,,
Maldives,Completion rate for youth of upper secondary education school age,Female,,42.1,,
Tunisia,Completion rate for youth of upper secondary education school age,Total,,,48.7,
Tunisia,Completion rate for youth of upper secondary education school age,Male,,,40.1,
Tunisia,Completion rate for youth of upper secondary education school age,Female,,,57.4,
Gambia,Out-of-school rate for adolescents of lower secondary school age,Total,,,26.2,
Gambia,Out-of-school rate for adolescents of lower secondary school age,Male,,,30.8,
Gambia,Out-of-school rate for adolescents of lower secondary school age,Female,,,22,
Maldives,Out-of-school rate for adolescents of lower secondary school age,Total,,4,,
Maldives,Out-of-school rate for adolescents of lower secondary school age,Male,,4.1,,
Maldives,Out-of-school rate for adolescents of lower secondary school age,Female,,3.8,,
Gambia,Out-of-school rate for youth of upper secondary school age,Total,,,40.5,
Gambia,Out-of-school rate for youth of upper secondary school age,Male,,,40.7,
Gambia,Out-of-school rate for youth of upper secondary school age,Female,,,40.3,
Maldives,Out-of-school rate for youth of upper secondary school age,Total,,25.1,,
Maldives,Out-of-school rate for youth of upper secondary school age,Male,,27.5,,
Maldives,Out-of-school rate for youth of upper secondary school age,Female,,22.9,,
Bangladesh,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,,57.8
Bangladesh,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,,51.2
Bangladesh,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,,64.6
Brazil,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,86.8,
Brazil,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,84.9,
Brazil,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,88.8,
Chile,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,59.8,,
Chile,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,58.8,,
Chile,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,60.8,,
Ecuador,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,,83.4
Ecuador,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,,81
Ecuador,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,,85.9
Georgia,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,96,
Georgia,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,96.1,
Georgia,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,96,
Lesotho,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,54.5,
Lesotho,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,42.3,
Lesotho,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,66.9,
Madagascar,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,27.2,
Madagascar,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,23,
Madagascar,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,31.5,
Mexico,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,89.5,
Mexico,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,88.6,
Mexico,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,90.6,
Nigeria,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,44.8,
Nigeria,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,44.7,
Nigeria,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,44.9,
Paraguay,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,79.4,,
Paraguay,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,75.6,,
Paraguay,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,83.7,,
Zimbabwe,Adjusted net attendance rate for adolescents of lower secondary school age,Total,,,,51.7
Zimbabwe,Adjusted net attendance rate for adolescents of lower secondary school age,Male,,,,43.8
Zimbabwe,Adjusted net attendance rate for adolescents of lower secondary school age,Female,,,,59.7
Bangladesh,Adjusted net attendance rate for youth of upper secondary school age,Total,,,,48.1
Bangladesh,Adjusted net attendance rate for youth of upper secondary school age,Male,,,,43.1
Bangladesh,Adjusted net attendance rate for youth of upper secondary school age,Female,,,,53.4
Brazil,Adjusted net attendance rate for youth of upper secondary school age,Total,,,70.1,
Brazil,Adjusted net attendance rate for youth of upper secondary school age,Male,,,65.2,
Brazil,Adjusted net attendance rate for youth of upper secondary school age,Female,,,75.3,
Chile,Adjusted net attendance rate for youth of upper secondary school age,Total,,74.3,,
Chile,Adjusted net attendance rate for youth of upper secondary school age,Male,,72.4,,
Chile,Adjusted net attendance rate for youth of upper secondary school age,Female,,76.4,,
Ecuador,Adjusted net attendance rate for youth of upper secondary school age,Total,,,,70.9
Ecuador,Adjusted net attendance rate for youth of upper secondary school age,Male,,,,69.5
Ecuador,Adjusted net attendance rate for youth of upper secondary school age,Female,,,,72.6
Georgia,Adjusted net attendance rate for youth of upper secondary school age,Total,,,84.6,
Georgia,Adjusted net attendance rate for youth of upper secondary school age,Male,,,82.9,
Georgia,Adjusted net attendance rate for youth of upper secondary school age,Female,,,86.8,
Lesotho,Adjusted net attendance rate for youth of upper secondary school age,Total,,,22.4,
Lesotho,Adjusted net attendance rate for youth of upper secondary school age,Male,,,14.9,
Lesotho,Adjusted net attendance rate for youth of upper secondary school age,Female,,,30.4,
Madagascar,Adjusted net attendance rate for youth of upper secondary school age,Total,,,12.8,
Madagascar,Adjusted net attendance rate for youth of upper secondary school age,Male,,,11.4,
Madagascar,Adjusted net attendance rate for youth of upper secondary school age,Female,,,14.1,
Mexico,Adjusted net attendance rate for youth of upper secondary school age,Total,,,68,
Mexico,Adjusted net attendance rate for youth of upper secondary school age,Male,,,65.7,
Mexico,Adjusted net attendance rate for youth of upper secondary school age,Female,,,70.3,
Nigeria,Adjusted net attendance rate for youth of upper secondary school age,Total,,,34.5,
Nigeria,Adjusted net attendance rate for youth of upper secondary school age,Male,,,34,
Nigeria,Adjusted net attendance rate for youth of upper secondary school age,Female,,,35,
Paraguay,Adjusted net attendance rate for youth of upper secondary school age,Total,,63,,
Paraguay,Adjusted net attendance rate for youth of upper secondary school age,Male,,61.4,,
Paraguay,Adjusted net attendance rate for youth of upper secondary school age,Female,,65,,
Zimbabwe,Adjusted net attendance rate for youth of upper secondary school age,Total,,,,36.9
Zimbabwe,Adjusted net attendance rate for youth of upper secondary school age,Male,,,,37.3
Zimbabwe,Adjusted net attendance rate for youth of upper secondary school age,Female,,,,36.4
Albania,Completion rate for adolescents of lower secondary school age,Total,,,97.7,
Albania,Completion rate for adolescents of lower secondary school age,Male,,,97.9,
Albania,Completion rate for adolescents of lower secondary school age,Female,,,97.4,
Angola,Completion rate for adolescents of lower secondary school age,Total,36.5,,,
Angola,Completion rate for adolescents of lower secondary school age,Male,42.1,,,
Angola,Completion rate for adolescents of lower secondary school age,Female,31.7,,,
Armenia,Completion rate for adolescents of lower secondary school age,Total,97.1,,,
Armenia,Completion rate for adolescents of lower secondary school age,Male,94.6,,,
Armenia,Completion rate for adolescents of lower secondary school age,Female,99.2,,,
Bangladesh,Completion rate for adolescents of lower secondary school age,Total,,,,64.7
Bangladesh,Completion rate for adolescents of lower secondary school age,Male,,,,59.2
Bangladesh,Completion rate for adolescents of lower secondary school age,Female,,,,70.5
Belize,Completion rate for adolescents of lower secondary school age,Total,60.3,,,
Belize,Completion rate for adolescents of lower secondary school age,Male,54.8,,,
Belize,Completion rate for adolescents of lower secondary school age,Female,65.5,,,
Botswana,Completion rate for adolescents of lower secondary school age,Total,,91.5,,
Botswana,Completion rate for adolescents of lower secondary school age,Male,,91.5,,
Botswana,Completion rate for adolescents of lower secondary school age,Female,,91.6,,
Brazil,Completion rate for adolescents of lower secondary school age,Total,,,84.7,
Brazil,Completion rate for adolescents of lower secondary school age,Male,,,80.9,
Brazil,Completion rate for adolescents of lower secondary school age,Female,,,88.6,
Chile,Completion rate for adolescents of lower secondary school age,Total,,95.6,,
Chile,Completion rate for adolescents of lower secondary school age,Male,,94.3,,
Chile,Completion rate for adolescents of lower secondary school age,Female,,96.9,,
Ecuador,Completion rate for adolescents of lower secondary school age,Total,,,,90.2
Ecuador,Completion rate for adolescents of lower secondary school age,Male,,,,88.9
Ecuador,Completion rate for adolescents of lower secondary school age,Female,,,,91.6
Ethiopia,Completion rate for adolescents of lower secondary school age,Total,21.1,,,
Ethiopia,Completion rate for adolescents of lower secondary school age,Male,19.4,,,
Ethiopia,Completion rate for adolescents of lower secondary school age,Female,22.3,,,
Georgia,Completion rate for adolescents of lower secondary school age,Total,,,97.7,
Georgia,Completion rate for adolescents of lower secondary school age,Male,,,97.6,
Georgia,Completion rate for adolescents of lower secondary school age,Female,,,97.8,
Kyrgyzstan,Completion rate for adolescents of lower secondary school age,Total,,,98.9,
Kyrgyzstan,Completion rate for adolescents of lower secondary school age,Male,,,99,
Kyrgyzstan,Completion rate for adolescents of lower secondary school age,Female,,,98.9,
Lao People's Democratic Republic,Completion rate for adolescents of lower secondary school age,Total,,53.5,,
Lao People's Democratic Republic,Completion rate for adolescents of lower secondary school age,Male,,54.2,,
Lao People's Democratic Republic,Completion rate for adolescents of lower secondary school age,Female,,52.9,,
Lesotho,Completion rate for adolescents of lower secondary school age,Total,,,44.3,
Lesotho,Completion rate for adolescents of lower secondary school age,Male,,,33.4,
Lesotho,Completion rate for adolescents of lower secondary school age,Female,,,54.9,
Madagascar,Completion rate for adolescents of lower secondary school age,Total,,,26.4,
Madagascar,Completion rate for adolescents of lower secondary school age,Male,,,26.1,
Madagascar,Completion rate for adolescents of lower secondary school age,Female,,,26.5,
Mexico,Completion rate for adolescents of lower secondary school age,Total,,,88.6,
Mexico,Completion rate for adolescents of lower secondary school age,Male,,,87.4,
Mexico,Completion rate for adolescents of lower secondary school age,Female,,,89.7,
Nepal,Completion rate for adolescents of lower secondary school age,Total,69.5,,,
Nepal,Completion rate for adolescents of lower secondary school age,Male,71.4,,,
Nepal,Completion rate for adolescents of lower secondary school age,Female,67.9,,,
Nigeria,Completion rate for adolescents of lower secondary school age,Total,,,62.6,
Nigeria,Completion rate for adolescents of lower secondary school age,Male,,,66.2,
Nigeria,Completion rate for adolescents of lower secondary school age,Female,,,59.3,
Pakistan,Completion rate for adolescents of lower secondary school age,Total,,,49.6,
Pakistan,Completion rate for adolescents of lower secondary school age,Male,,,54.7,
Pakistan,Completion rate for adolescents of lower secondary school age,Female,,,44.6,
Paraguay,Completion rate for adolescents of lower secondary school age,Total,,80,,
Paraguay,Completion rate for adolescents of lower secondary school age,Male,,80.6,,
Paraguay,Completion rate for adolescents of lower secondary school age,Female,,79.2,,
Philippines,Completion rate for adolescents of lower secondary school age,Total,,81.1,,
Philippines,Completion rate for adolescents of lower secondary school age,Male,,75.2,,
Philippines,Completion rate for adolescents of lower secondary school age,Female,,87.7,,
Suriname,Completion rate for adolescents of lower secondary school age,Total,,,49.4,
Suriname,Completion rate for adolescents of lower secondary school age,Male,,,41.1,
Suriname,Completion rate for adolescents of lower secondary school age,Female,,,57.9,
Turkmenistan,Completion rate for adolescents of lower secondary school age,Total,99.5,,,
Turkmenistan,Completion rate for adolescents of lower secondary school age,Male,99.5,,,
Turkmenistan,Completion rate for adolescents of lower secondary school age,Female,99.5,,,
Uganda,Completion rate for adolescents of lower secondary school age,Total,24.9,,,
Uganda,Completion rate for adolescents of lower secondary school age,Male,26.9,,,
Uganda,Completion rate for adolescents of lower secondary school age,Female,23.3,,,
Zimbabwe,Completion rate for adolescents of lower secondary school age,Total,,,,48.6
Zimbabwe,Completion rate for adolescents of lower secondary school age,Male,,,,44.5
Zimbabwe,Completion rate for adolescents of lower secondary school age,Female,,,,52.9
Albania,Completion rate for youth of upper secondary education school age,Total,,,77.9,
Albania,Completion rate for youth of upper secondary education school age,Male,,,76.2,
Albania,Completion rate for youth of upper secondary education school age,Female,,,79.9,
Angola,Completion rate for youth of upper secondary education school age,Total,18.7,,,
Angola,Completion rate for youth of upper secondary education school age,Male,23.7,,,
Angola,Completion rate for youth of upper secondary education school age,Female,15.2,,,
Armenia,Completion rate for youth of upper secondary education school age,Total,74.6,,,
Armenia,Completion rate for youth of upper secondary education school age,Male,68.8,,,
Armenia,Completion rate for youth of upper secondary education school age,Female,79.4,,,
Bangladesh,Completion rate for youth of upper secondary education school age,Total,,,,29.4
Bangladesh,Completion rate for youth of upper secondary education school age,Male,,,,31.5
Bangladesh,Completion rate for youth of upper secondary education school age,Female,,,,27.3
Belize,Completion rate for youth of upper secondary education school age,Total,49.2,,,
Belize,Completion rate for youth of upper secondary education school age,Male,47.5,,,
Belize,Completion rate for youth of upper secondary education school age,Female,50.7,,,
Botswana,Completion rate for youth of upper secondary education school age,Total,,60.9,,
Botswana,Completion rate for youth of upper secondary education school age,Male,,55.4,,
Botswana,Completion rate for youth of upper secondary education school age,Female,,66.4,,
Brazil,Completion rate for youth of upper secondary education school age,Total,,,69.7,
Brazil,Completion rate for youth of upper secondary education school age,Male,,,64.7,
Brazil,Completion rate for youth of upper secondary education school age,Female,,,74.7,
Chile,Completion rate for youth of upper secondary education school age,Total,,85.6,,
Chile,Completion rate for youth of upper secondary education school age,Male,,83.1,,
Chile,Completion rate for youth of upper secondary education school age,Female,,88.1,,
Ecuador,Completion rate for youth of upper secondary education school age,Total,,,,78.5
Ecuador,Completion rate for youth of upper secondary education school age,Male,,,,77.7
Ecuador,Completion rate for youth of upper secondary education school age,Female,,,,79.4
Ethiopia,Completion rate for youth of upper secondary education school age,Total,12.3,,,
Ethiopia,Completion rate for youth of upper secondary education school age,Male,10.6,,,
Ethiopia,Completion rate for youth of upper secondary education school age,Female,13.6,,,
Georgia,Completion rate for youth of upper secondary education school age,Total,,,80.9,
Georgia,Completion rate for youth of upper secondary education school age,Male,,,79.1,
Georgia,Completion rate for youth of upper secondary education school age,Female,,,82.9,
Kyrgyzstan,Completion rate for youth of upper secondary education school age,Total,,,86.8,
Kyrgyzstan,Completion rate for youth of upper secondary education school age,Male,,,89.1,
Kyrgyzstan,Completion rate for youth of upper secondary education school age,Female,,,84.9,
Lao People's Democratic Republic,Completion rate for youth of upper secondary education school age,Total,,31.1,,
Lao People's Democratic Republic,Completion rate for youth of upper secondary education school age,Male,,31.6,,
Lao People's Democratic Republic,Completion rate for youth of upper secondary education school age,Female,,30.6,,
Lesotho,Completion rate for youth of upper secondary education school age,Total,,,31.8,
Lesotho,Completion rate for youth of upper secondary education school age,Male,,,26.7,
Lesotho,Completion rate for youth of upper secondary education school age,Female,,,36.9,
Madagascar,Completion rate for youth of upper secondary education school age,Total,,,15.3,
Madagascar,Completion rate for youth of upper secondary education school age,Male,,,15.5,
Madagascar,Completion rate for youth of upper secondary education school age,Female,,,15,
Mexico,Completion rate for youth of upper secondary education school age,Total,,,58.2,
Mexico,Completion rate for youth of upper secondary education school age,Male,,,55.9,
Mexico,Completion rate for youth of upper secondary education school age,Female,,,60.4,
Nepal,Completion rate for youth of upper secondary education school age,Total,43.7,,,
Nepal,Completion rate for youth of upper secondary education school age,Male,51.9,,,
Nepal,Completion rate for youth of upper secondary education school age,Female,38.5,,,
Nigeria,Completion rate for youth of upper secondary education school age,Total,,,49.2,
Nigeria,Completion rate for youth of upper secondary education school age,Male,,,57,
Nigeria,Completion rate for youth of upper secondary education school age,Female,,,43.5,
Pakistan,Completion rate for youth of upper secondary education school age,Total,,,23.4,
Pakistan,Completion rate for youth of upper secondary education school age,Male,,,23.6,
Pakistan,Completion rate for youth of upper secondary education school age,Female,,,23.3,
Paraguay,Completion rate for youth of upper secondary education school age,Total,,63.1,,
Paraguay,Completion rate for youth of upper secondary education school age,Male,,59.7,,
Paraguay,Completion rate for youth of upper secondary education school age,Female,,66.5,,
Philippines,Completion rate for youth of upper secondary education school age,Total,,78.3,,
Philippines,Completion rate for youth of upper secondary education school age,Male,,74.1,,
Philippines,Completion rate for youth of upper secondary education school age,Female,,83.3,,
Suriname,Completion rate for youth of upper secondary education school age,Total,,,22.3,
Suriname,Completion rate for youth of upper secondary education school age,Male,,,18.2,
Suriname,Completion rate for youth of upper secondary education school age,Female,,,26.5,
Turkmenistan,Completion rate for youth of upper secondary education school age,Total,94.3,,,
Turkmenistan,Completion rate for youth of upper secondary education school age,Male,93.2,,,
Turkmenistan,Completion rate for youth of upper secondary education school age,Female,95.3,,,
Uganda,Completion rate for youth of upper secondary education school age,Total,16.6,,,
Uganda,Completion rate for youth of upper secondary education school age,Male,18.3,,,
Uganda,Completion rate for youth of upper secondary education school age,Female,15.3,,,
Zimbabwe,Completion rate for youth of upper secondary education school age,Total,,,,15.3
Zimbabwe,Completion rate for youth of upper secondary education school age,Male,,,,17.2
Zimbabwe,Completion rate for youth of upper secondary education school age,Female,,,,13.6
Albania,Out-of-school rate for adolescents of lower secondary school age,Total,,,2.1,
Albania,Out-of-school rate for adolescents of lower secondary school age,Male,,,2.2,
Albania,Out-of-school rate for adolescents of lower secondary school age,Female,,,2.1,
Angola,Out-of-school rate for adolescents of lower secondary school age,Total,15.3,,,
Angola,Out-of-school rate for adolescents of lower secondary school age,Male,13.5,,,
Angola,Out-of-school rate for adolescents of lower secondary school age,Female,16.9,,,
Armenia,Out-of-school rate for adolescents of lower secondary school age,Total,0.8,,,
Armenia,Out-of-school rate for adolescents of lower secondary school age,Male,0.7,,,
Armenia,Out-of-school rate for adolescents of lower secondary school age,Female,0.9,,,
Bangladesh,Out-of-school rate for adolescents of lower secondary school age,Total,,,,13
Bangladesh,Out-of-school rate for adolescents of lower secondary school age,Male,,,,17.9
Bangladesh,Out-of-school rate for adolescents of lower secondary school age,Female,,,,8
Benin,Out-of-school rate for adolescents of lower secondary school age,Total,,,41.4,
Benin,Out-of-school rate for adolescents of lower secondary school age,Male,,,36.2,
Benin,Out-of-school rate for adolescents of lower secondary school age,Female,,,46.8,
Botswana,Out-of-school rate for adolescents of lower secondary school age,Total,,4.3,,
Botswana,Out-of-school rate for adolescents of lower secondary school age,Male,,4,,
Botswana,Out-of-school rate for adolescents of lower secondary school age,Female,,4.5,,
Brazil,Out-of-school rate for adolescents of lower secondary school age,Total,,,1.1,
Brazil,Out-of-school rate for adolescents of lower secondary school age,Male,,,1.2,
Brazil,Out-of-school rate for adolescents of lower secondary school age,Female,,,0.9,
Chile,Out-of-school rate for adolescents of lower secondary school age,Total,,0.5,,
Chile,Out-of-school rate for adolescents of lower secondary school age,Male,,0.4,,
Chile,Out-of-school rate for adolescents of lower secondary school age,Female,,0.6,,
Ecuador,Out-of-school rate for adolescents of lower secondary school age,Total,,,,6
Ecuador,Out-of-school rate for adolescents of lower secondary school age,Male,,,,6.6
Ecuador,Out-of-school rate for adolescents of lower secondary school age,Female,,,,5.4
Georgia,Out-of-school rate for adolescents of lower secondary school age,Total,,,1.2,
Georgia,Out-of-school rate for adolescents of lower secondary school age,Male,,,1.5,
Georgia,Out-of-school rate for adolescents of lower secondary school age,Female,,,0.8,
Guinea,Out-of-school rate for adolescents of lower secondary school age,Total,42.9,,,
Guinea,Out-of-school rate for adolescents of lower secondary school age,Male,38.1,,,
Guinea,Out-of-school rate for adolescents of lower secondary school age,Female,48.1,,,
Jordan,Out-of-school rate for adolescents of lower secondary school age,Total,,,5.3,
Jordan,Out-of-school rate for adolescents of lower secondary school age,Male,,,5.5,
Jordan,Out-of-school rate for adolescents of lower secondary school age,Female,,,5.1,
Kyrgyzstan,Out-of-school rate for adolescents of lower secondary school age,Total,,,1.4,
Kyrgyzstan,Out-of-school rate for adolescents of lower secondary school age,Male,,,1.5,
Kyrgyzstan,Out-of-school rate for adolescents of lower secondary school age,Female,,,1.2,
Lesotho,Out-of-school rate for adolescents of lower secondary school age,Total,,,14.1,
Lesotho,Out-of-school rate for adolescents of lower secondary school age,Male,,,19.2,
Lesotho,Out-of-school rate for adolescents of lower secondary school age,Female,,,8.8,
Madagascar,Out-of-school rate for adolescents of lower secondary school age,Total,,,35.6,
Madagascar,Out-of-school rate for adolescents of lower secondary school age,Male,,,38,
Madagascar,Out-of-school rate for adolescents of lower secondary school age,Female,,,33.1,
Mexico,Out-of-school rate for adolescents of lower secondary school age,Total,,,6,
Mexico,Out-of-school rate for adolescents of lower secondary school age,Male,,,6.5,
Mexico,Out-of-school rate for adolescents of lower secondary school age,Female,,,5.4,
Mongolia,Out-of-school rate for adolescents of lower secondary school age,Total,,,4.4,
Mongolia,Out-of-school rate for adolescents of lower secondary school age,Male,,,5.3,
Mongolia,Out-of-school rate for adolescents of lower secondary school age,Female,,,3.3,
Nepal,Out-of-school rate for adolescents of lower secondary school age,Total,5.6,,,
Nepal,Out-of-school rate for adolescents of lower secondary school age,Male,4.2,,,
Nepal,Out-of-school rate for adolescents of lower secondary school age,Female,7,,,
Nigeria,Out-of-school rate for adolescents of lower secondary school age,Total,,,26.6,
Nigeria,Out-of-school rate for adolescents of lower secondary school age,Male,,,24.6,
Nigeria,Out-of-school rate for adolescents of lower secondary school age,Female,,,28.6,
Paraguay,Out-of-school rate for adolescents of lower secondary school age,Total,,7.7,,
Paraguay,Out-of-school rate for adolescents of lower secondary school age,Male,,8.6,,
Paraguay,Out-of-school rate for adolescents of lower secondary school age,Female,,6.6,,
South Africa,Out-of-school rate for adolescents of lower secondary school age,Total,5.2,,,
South Africa,Out-of-school rate for adolescents of lower secondary school age,Male,6.1,,,
South Africa,Out-of-school rate for adolescents of lower secondary school age,Female,4.3,,,
Suriname,Out-of-school rate for adolescents of lower secondary school age,Total,,,6.6,
Suriname,Out-of-school rate for adolescents of lower secondary school age,Male,,,7.8,
Suriname,Out-of-school rate for adolescents of lower secondary school age,Female,,,5.5,
Thailand,Out-of-school rate for adolescents of lower secondary school age,Total,5.1,,,
Thailand,Out-of-school rate for adolescents of lower secondary school age,Male,5.1,,,
Thailand,Out-of-school rate for adolescents of lower secondary school age,Female,5.1,,,
Tunisia,Out-of-school rate for adolescents of lower secondary school age,Total,,,7,
Tunisia,Out-of-school rate for adolescents of lower secondary school age,Male,,,7.1,
Tunisia,Out-of-school rate for adolescents of lower secondary school age,Female,,,6.8,
